,Date,Country,Death Confirmed,Outbreak Case,Year,Month
233,2014-12-26,Guinea,1654.0,2630.0,2014,12
234,2014-12-26,Liberia,3384.0,7862.0,2014,12
235,2014-12-26,Mali,6.0,8.0,2014,12
236,2014-12-26,Nigeria,8.0,20.0,2014,12
237,2014-12-26,Senegal,0.0,1.0,2014,12
238,2014-12-26,Sierra Leone,2655.0,9203.0,2014,12
239,2014-12-26,Spain,0.0,1.0,2014,12
240,2014-12-26,United States of America,1.0,4.0,2014,12
241,2014-12-29,Guinea,1697.0,2695.0,2014,12
242,2014-12-29,Liberia,3413.0,7977.0,2014,12
243,2014-12-29,Mali,6.0,8.0,2014,12
244,2014-12-29,Nigeria,8.0,20.0,2014,12
245,2014-12-29,Senegal,0.0,1.0,2014,12
246,2014-12-29,Sierra Leone,2732.0,9409.0,2014,12
247,2014-12-29,Spain,0.0,1.0,2014,12
248,2014-12-29,United States of America,1.0,4.0,2014,12
249,2014-12-30,Guinea,1708.0,2706.0,2014,12
250,2014-12-30,Liberia,3413.0,7977.0,2014,12
251,2014-12-30,Mali,6.0,8.0,2014,12
252,2014-12-30,Nigeria,8.0,20.0,2014,12
253,2014-12-30,Senegal,0.0,1.0,2014,12
254,2014-12-30,Sierra Leone,2758.0,9446.0,2014,12
255,2014-12-30,Spain,0.0,1.0,2014,12
256,2014-12-30,United States of America,1.0,4.0,2014,12
257,2014-12-31,Guinea,1709.0,2707.0,2014,12
258,2014-12-31,Liberia,3423.0,8018.0,2014,12
259,2014-12-31,Mali,6.0,8.0,2014,12
260,2014-12-31,Nigeria,8.0,20.0,2014,12
261,2014-12-31,Senegal,0.0,1.0,2014,12
262,2014-12-31,Sierra Leone,2758.0,9446.0,2014,12
263,2014-12-31,Spain,0.0,1.0,2014,12
264,2014-12-31,United States of America,1.0,4.0,2014,12
265,2015-01-02,Guinea,1739.0,2730.0,2015,1
266,2015-01-02,Liberia,3423.0,8018.0,2015,1
267,2015-01-02,Mali,6.0,8.0,2015,1
268,2015-01-02,Nigeria,8.0,20.0,2015,1
269,2015-01-02,Senegal,0.0,1.0,2015,1
270,2015-01-02,Sierra Leone,2827.0,9633.0,2015,1
271,2015-01-02,Spain,0.0,1.0,2015,1
272,2015-01-02,United Kingdom,0.0,0.0,2015,1
273,2015-01-02,United States of America,1.0,4.0,2015,1
274,2015-01-05,Guinea,1767.0,2769.0,2015,1
275,2015-01-05,Liberia,3471.0,8115.0,2015,1
276,2015-01-05,Mali,6.0,8.0,2015,1
277,2015-01-05,Nigeria,8.0,20.0,2015,1
278,2015-01-05,Senegal,0.0,1.0,2015,1
279,2015-01-05,Sierra Leone,2915.0,9772.0,2015,1
280,2015-01-05,Spain,0.0,1.0,2015,1
281,2015-01-05,United Kingdom,0.0,0.0,2015,1
282,2015-01-05,United States of America,1.0,4.0,2015,1
